Sample,SiO2,TiO2,Al2O3,FeO(T),MnO,MgO,CaO,Na2O,K2O,P2O5,Total
SiO2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
RhA,82.42150010207841,0.08786254387506072,7.964620295448082,2.6904296508146874,0.02697848900893271,0.09496656385745599,1.0465787008163518,4.5699427555375625,1.0971208985634648,0.0,100.00000000000003
RhB,82.57545105629916,0.11254132824801823,8.43121496369281,2.62723702174981,0.01810086278282912,0.09557485265972987,0.8586540860352871,2.807178271111174,2.4604785766655217,0.013568980755656842,99.99999999999997
RhD,82.2433647842992,0.08858554913783065,7.84091795582799,2.6499021143399273,0.045334150336075754,0.11170603131154887,1.032251880323031,3.040566587247688,2.9292461915893884,0.0181247555873134,99.99999999999999
RhE,81.26804188629447,0.09739423125440445,8.652382247500691,2.6435500203608755,0.02741312347769235,0.11257926628694408,1.0172030103594694,1.4746460860025465,4.679390466219593,0.02739966224329074,99.99999999999997
RhJ,77.74887413185755,0.24586343085105578,7.448640452542962,2.9182880826884063,0.06250511569827491,2.577415748163682,3.3660571440072675,3.229505498017346,2.393925478671265,0.008924917502191449,100.0
MSA,64.26822664893461,0.47067807750873564,11.40365317637655,5.665308254124917,0.18273058838123016,4.599073988315895,8.910936155385087,3.921425304113434,0.5779678068595347,0.0,100.0
str,52.998773901711814,0.6955326379572362,10.706101389036839,7.273367113958861,0.1456881824228515,9.807964177671234,13.822076287225862,2.8555273723658194,1.4674429343152027,0.22752600333430537,100.0
DGG,71.20179805638182,0.10456320233435815,0.7195840619323749,0.0,0.0,6.186364534620234,7.1587777668032935,14.388275146903693,0.24063723102423554,0.0,100.00000000000003
And,66.9837107852321,0.4441682002615512,12.657777171572546,0.0,0.0181844448997718,5.152868157323033,10.443440534557165,3.6630608937499334,0.6367898124038766,0.0,99.99999999999999
Bas,52.4573219866047,0.43220745764277857,11.639831140815941,0.0,0.0,17.362522442046195,13.94506637604319,3.2302560732648593,0.9327945235823419,0.0,100.0
Phon,65.40278402185203,0.6608432619204114,12.724659941531852,0.0,0.0,3.0997121626995012,2.799704619413807,10.035470941801545,5.276825050780879,0.0,100.00000000000003
Trach,68.99399640173498,0.40267859438948606,10.54121263606315,0.0,0.0,4.659934121568469,6.147893080960391,6.953125115124756,2.301160050158784,0.0,100.0
Teph,51.321621068887275,1.7945737975788043,8.392217203638236,0.0,0.0,13.301196858961415,16.313896242040837,6.927600279782006,1.9488945491114251,0.0,100.00000000000001
Foid,42.978313279463514,2.20403464178456,5.917459978372831,0.0,0.0,13.484650307176596,27.553449342858954,7.258058171871244,0.6040342784723101,0.0,100.00000000000001
HPG8_Na05,80.08549121744883,0.0,7.451560665809557,0.0,0.0,0.0,0.0,9.42963769600736,3.033310420734243,0.0,99.99999999999999
HPG8_K05,81.36339783303961,0.0,7.58399435077361,0.0,0.0,0.0,0.0,4.652215109173993,6.400392707012777,0.0,100.0
