Sample,SiO2,TiO2,Al2O3,FeO(T),MnO,MgO,CaO,Na2O,K2O,P2O5,Total
SiO2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
RhA,77.1900169036492,0.1093765536442279,12.657850253554738,3.0128268867455503,0.029829969175698516,0.05965993835139703,0.9147857213880878,4.414835438003381,1.61081833548772,0.0,100.0
RhB,76.5679183592589,0.13870999702764295,13.266620430000991,2.9129099375805017,0.019815713861091846,0.05944714158327554,0.7430892697909443,2.685029228177945,3.5767363519270785,0.02972357079163777,100.00000000000001
RhD,76.36417851108239,0.10933306828347081,12.354636716032202,2.94205347380976,0.04969684921975946,0.06957558890766326,0.8945432859556703,2.912235364277904,4.263989663055361,0.03975747937580757,99.99999999999999
RhE,74.40734887396286,0.1185302252074279,13.443303042275781,2.894112998814698,0.029632556301856974,0.06914263137099962,0.869221651521138,1.3927301461872779,6.7167127617542475,0.05926511260371395,100.0
RhJ,73.17194166087906,0.3075701954558984,11.896021430697491,3.2840559579323347,0.06945133445778352,1.6271455501537853,2.956642524059927,3.135231669808513,3.5320964381387046,0.019843238416509576,100.00000000000001
MSA,59.73531181070784,0.5815119310206537,17.986765590535395,6.296370563465009,0.20052135552436334,2.867455383998396,7.730098255464207,3.759775416081813,0.8421896932023261,0.0,100.0
str,49.89373545187734,0.8703572512903552,17.103532031170932,8.187430422022063,0.16192693047262421,6.193705090577876,12.144519785446818,2.77299868434369,2.165772695071349,0.5060216577269507,100.0
DGG,72.20376522702104,0.14094432699083861,1.2382965871337963,0.0,0.0,4.208194905869324,6.77539514748817,15.05084063223598,0.38256317326084766,0.0,99.99999999999999
And,62.568936127544376,0.5514890203549585,20.064173267823126,0.0,0.02005414619472576,3.2287175373508474,9.104582372405496,3.529529730271734,0.9325177980547479,0.0,100.0
Bas,51.30772374335922,0.561912545974663,19.31957498978341,0.0,0.0,11.391499795668166,12.729873314262363,3.2590927666530445,1.4303228442991418,0.0,100.0
Phon,58.82,0.79,19.42,0.0,0.0,1.87,2.35,9.31,7.44,0.0,100.0
Trach,64.44355564443555,0.49995000499950004,16.708329167083292,0.0,0.0,2.9197080291970803,5.35946405359464,6.6993300669933005,3.36966303369663,0.0,99.99999999999999
Teph,50.168684262750546,2.3318118674340145,13.921412978765629,0.0,0.0,8.721968644572334,14.88390553681286,6.985512998610836,2.9867037110537806,0.0,99.99999999999999
Foid,43.34892050542234,2.9549298577255994,10.128345438264848,0.0,0.0,9.123470301462541,25.937717640035817,7.551487414187642,0.9551288429012038,0.0,100.0
HPG8_Na05,74.69758064516128,0.0,11.794354838709678,0.0,0.0,0.0,0.0,9.07258064516129,4.435483870967742,0.0,100.0
HPG8_K05,74.6,0.0,11.8,0.0,0.0,0.0,0.0,4.4,9.2,0.0,100.0
